source_language,intervention,rating
Italian,Vouchers,1
Italian,Fine,3
Italian,Support Program,1
Italian,Phone Reminders,4
Italian,Emoji Feedback,3
Italian,Health Information,4
Italian,Vouchers,3
Italian,Fine,3
Italian,Support Program,1
Italian,Phone Reminders,4
Italian,Emoji Feedback,1
Italian,Pension Collection,1
Italian,Health Information,4
Italian,Vouchers,1
Italian,Fine,3
Italian,Support Program,1
Italian,Phone Reminders,3
Italian,Emoji Feedback,1
Italian,Health Information,3
Italian,Vouchers,1
Italian,Fine,1
Italian,Support Program,1
Italian,Phone Reminders,3
Italian,Emoji Feedback,1
Italian,Pension Collection,1
Italian,Health Information,4
Italian,Vouchers,1
Italian,Fine,1
Italian,Support Program,3
Italian,Phone Reminders,3
Italian,Emoji Feedback,3
Italian,Pension Collection,1
Italian,Health Information,3
Portuguese,Phone Reminders,4
Portuguese,Emoji Feedback,1
Portuguese,Pension Collection,1
Portuguese,Health Information,3
Portuguese,Vouchers,1
Portuguese,Fine,1
Portuguese,Support Program,1
Portuguese,Phone Reminders,1
Portuguese,Emoji Feedback,1
Portuguese,Pension Collection,1
Portuguese,Health Information,1
Portuguese,Vouchers,3
Portuguese,Fine,3
Portuguese,Phone Reminders,3
Portuguese,Emoji Feedback,1
Portuguese,Pension Collection,1
Portuguese,Vouchers,1
Portuguese,Fine,1
Portuguese,Support Program,3
Portuguese,Emoji Feedback,1
Portuguese,Pension Collection,1
Portuguese,Health Information,1
Portuguese,Vouchers,1
Portuguese,Fine,1
Portuguese,Support Program,1
Portuguese,Phone Reminders,1
Portuguese,Emoji Feedback,1
Portuguese,Pension Collection,1
Portuguese,Health Information,1
Portuguese,Vouchers,1
Portuguese,Fine,1
Portuguese,Support Program,1
Portuguese,Phone Reminders,1
Portuguese,Emoji Feedback,1
Portuguese,Pension Collection,1
Portuguese,Health Information,1
Portuguese,Vouchers,1
Portuguese,Fine,1
Portuguese,Support Program,3
Portuguese,Phone Reminders,3
Portuguese,Pension Collection,1
French,Vouchers,1
French,Fine,1
French,Support Program,2
French,Phone Reminders,1
French,Emoji Feedback,1
French,Vouchers,1
French,Fine,4
French,Support Program,2
French,Phone Reminders,2
French,Emoji Feedback,2
French,Health Information,4
French,Vouchers,1
French,Fine,1
French,Support Program,1
French,Phone Reminders,1
French,Emoji Feedback,1
French,Vouchers,1
French,Fine,1
French,Support Program,1
French,Phone Reminders,1
French,Emoji Feedback,1
French,Health Information,4
French,Vouchers,1
French,Emoji Feedback,4
French,Health Information,2
French,Vouchers,1
French,Fine,1
French,Vouchers,1
French,Fine,1
French,Support Program,1
French,Emoji Feedback,1
French,Fine,1
French,Vouchers,1
French,Fine,4
French,Support Program,1
French,Phone Reminders,4
French,Emoji Feedback,1
French,Health Information,4
French,Vouchers,1
French,Fine,1
French,Support Program,1
French,Phone Reminders,1
French,Emoji Feedback,1
French,Health Information,4
